categoryID;partID;X;Y;Z;distance;X_noise;Y_noise;Z_noise;distance_noise;intensity;red;green;blue
2.0;14.0;9.25255012512207;-47.898189544677734;0.47124147415161133;2.1665754318237305;9.24748706817627;-47.90779113769531;0.45860981941223145;2.248564007594682;0.7584549905305304;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253836631774902;-47.899383544921875;0.46180570125579834;2.173643112182617;9.251182556152344;-47.9044303894043;0.45513617992401123;2.2481461231452733;0.30768515514071487;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.243058204650879;-47.899024963378906;0.47124147415161133;2.1715822219848633;9.233485221862793;-47.91694259643555;0.44768595695495605;2.2663987876203353;0.7573064643936273;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.248127937316895;-47.89305114746094;0.4712413549423218;2.166574478149414;9.240962028503418;-47.906497955322266;0.4534790515899658;2.2537023993133922;0.759002294039623;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253174781799316;-47.887115478515625;0.4712415933609009;2.161593437194824;9.247692108154297;-47.89743423461914;0.457550048828125;2.2433532286811038;0.7606891211673007;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253746032714844;-47.88959503173828;0.46004247665405273;2.1708984375;9.252166748046875;-47.892574310302734;0.45606791973114014;2.2403407971410974;0.30826946903985397;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253778457641602;-47.89314270019531;0.4473675489425659;2.18204402923584;9.246402740478516;-47.907100677490234;0.4286702871322632;2.2712874563193695;0.306665730648916;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253811836242676;-47.896705627441406;0.4345606565475464;2.193295478820801;9.249298095703125;-47.905269622802734;0.4230349063873291;2.273685604904682;0.3050612346983587;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.25384521484375;-47.900325775146484;0.4216221570968628;2.2046728134155273;9.250314712524414;-47.90704345703125;0.41253864765167236;2.2824359468908404;0.3034537141680025;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.233518600463867;-47.89984893798828;0.4712413549423218;2.1766090393066406;9.223588943481445;-47.918190002441406;0.4471435546875;2.2705919897361317;0.7561466979745721;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.238621711730957;-47.89387512207031;0.4712412357330322;2.1715831756591797;9.232114791870117;-47.90592575073242;0.45533180236816406;2.2546953059135983;0.7578463340118977;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.243701934814453;-47.887908935546875;0.4712413549423218;2.1665725708007812;9.235749244689941;-47.90267562866211;0.4516550302505493;2.254498287311952;0.7595434788729177;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.248758316040039;-47.881988525390625;0.47124147415161133;2.1615943908691406;9.242595672607422;-47.89346694946289;0.45594942569732666;2.2438579166442594;0.7612314488262476;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.25362491607666;-47.87638854980469;0.47082412242889404;2.1571598052978516;9.2489595413208;-47.885101318359375;0.4591623544692993;2.234689458389492;0.3104533762123189;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253656387329102;-47.879844665527344;0.4582843780517578;2.1681642532348633;9.244765281677246;-47.8964958190918;0.4358943700790405;2.2602220590553292;0.3088482243620276;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.25368881225586;-47.88332748413086;0.4456055164337158;2.179286003112793;9.251753807067871;-47.886962890625;0.44069576263427734;2.2490181097811184;0.30724071760587923;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253721237182617;-47.88685607910156;0.4328063726425171;2.1905174255371094;9.245906829833984;-47.90156936645508;0.41283416748046875;2.2804250938182364;0.3056317661543782;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.253753662109375;-47.890403747558594;0.4198744297027588;2.2018604278564453;9.249273300170898;-47.89886474609375;0.4083365201950073;2.281345485767627;0.30402205507730784;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.2239351272583;-47.900691986083984;0.47124147415161133;2.1816635131835938;9.218337059020996;-47.9109001159668;0.4578402042388916;2.2599631591145974;0.7549698554464568;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.229072570800781;-47.89470291137695;0.4712412357330322;2.176614761352539;9.219490051269531;-47.91221618652344;0.4481348991394043;2.2676925159679784;0.756676299521509;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.234186172485352;-47.88872146606445;0.4712413549423218;2.1715822219848633;9.226982116699219;-47.90192413330078;0.45374274253845215;2.2552030145207302;0.7583804015083527;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.239275932312012;-47.88278579711914;0.4712415933609009;2.1665802001953125;9.234894752502441;-47.890838623046875;0.46051859855651855;2.2412590663718843;0.7600753073365489;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.244342803955078;-47.876861572265625;0.4712415933609009;2.161595344543457;9.238256454467773;-47.8880729675293;0.45623838901519775;2.241898825863526;0.7617676840809947;0.09758733958005905;0.05780542641878128;0.026241226121783257
2.0;14.0;9.249390602111816;-47.87097930908203;0.4712415933609009;2.1566362380981445;9.2398681640625;-47.888572692871094;0.4475942850112915;2.2482769413751873;0.7634513366779963;0.09758733958005905;0.05780542641878128;0.026241226121783257
